file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
adoption-decision.lisp	REUSE	L8	orchestrator.adoption	5	no	babel,ironclad	orchestrator.institution,orchestrator.journal,orchestrator.paths,orchestrator.trace,orchestrator.whatif	defun:5
ai-citation-strategy.lisp	EXTEND	§4.13	orchestrator.ai-citation	43	no	cl-ppcre,drakma,jonathan,local-time,uuid	orchestrator.hash-authority,orchestrator.time,orchestrator.uris,orchestrator.write-authority	defclass:6,defmethod:11,defparameter:3,defun:23
ai-corpus-dump.lisp	EXTEND	§4.15	orchestrator.ai-dump	9	no	-	UNKNOWN-none-qualified	defun:9
ai-ingest-manifest.lisp	EXTEND	§4.15	orchestrator.ai-ingest	53	no	cl-ppcre,jonathan,local-time	orchestrator.consolidation,orchestrator.spec,orchestrator.time	defclass:4,defmethod:8,defparameter:4,defun:37
akoma-ntoso-emitter.lisp	REUSE	§4.11	orchestrator.akoma-ntoso	10	no	-	orchestrator.consolidation	defparameter:1,defun:9
amendment-extractor.lisp	EXTEND	§4.5	orchestrator.amendment-extractor	38	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:12,defun:26
anomaly-detection.lisp	REUSE	L5/L9	orchestrator.anomaly	7	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:1,defun:6
archive-authority.lisp	REUSE	§4.2	orchestrator.archive-authority	7	no	alexandria,drakma,jonathan	orchestrator.time	define-condition:2,defparameter:2,defun:3
asn1-der.lisp	EXTEND	§4.10	orchestrator.asn1	22	no	babel,cl-base64,ironclad	UNKNOWN-none-qualified	define-condition:1,defparameter:1,defun:20
ast-gate.lisp	REUSE	§4.2	orchestrator.ast-gate	7	no	-	orchestrator.legal-ast,orchestrator.validate-ast	defun:7
authority-evidence-replay.lisp	EXTEND	§4.10	orchestrator.authority-evidence-replay	39	no	babel,ironclad	UNKNOWN-none-qualified	defparameter:8,defun:29,defvar:2
authority-proof-bundle.lisp	EXTEND	§4.10	orchestrator.authority-proof-bundle	23	no	babel,ironclad	UNKNOWN-none-qualified	defparameter:4,defun:19
autonomy.lisp	REUSE	§4.1	orchestrator.autonomy	7	no	-	orchestrator.deliberation,orchestrator.memory,orchestrator.self-history	defclass:1,defun:5,defvar:1
