from_package	to_package	qualified_ref_files(APPROX)
orchestrator.adoption	orchestrator.institution	1
orchestrator.adoption	orchestrator.journal	1
orchestrator.adoption	orchestrator.paths	1
orchestrator.adoption	orchestrator.trace	1
orchestrator.adoption	orchestrator.whatif	1
orchestrator.ai-citation	orchestrator.hash-authority	1
orchestrator.ai-citation	orchestrator.time	1
orchestrator.ai-citation	orchestrator.uris	1
orchestrator.ai-citation	orchestrator.write-authority	1
orchestrator.ai-ingest	orchestrator.consolidation	1
orchestrator.ai-ingest	orchestrator.spec	1
orchestrator.ai-ingest	orchestrator.time	1
orchestrator.akoma-ntoso	orchestrator.consolidation	1
orchestrator.archive-authority	orchestrator.time	1
orchestrator.ast-gate	orchestrator.legal-ast	1
orchestrator.ast-gate	orchestrator.validate-ast	1
orchestrator.audit	orchestrator.hash-authority	1
orchestrator.audit	orchestrator.jws-authority	1
orchestrator.audit	orchestrator.merkle	1
orchestrator.audit	orchestrator.time	1
orchestrator.audit	orchestrator.uris	1
orchestrator.audit	orchestrator.write-authority	1
orchestrator.authority	orchestrator.hash-authority	1
orchestrator.authority	orchestrator.merkle	1
orchestrator.authority	orchestrator.time	1
orchestrator.authority	orchestrator.uris	1
orchestrator.autonomy	orchestrator.deliberation	1
orchestrator.autonomy	orchestrator.memory	1
orchestrator.autonomy	orchestrator.self-history	1
orchestrator.capability	orchestrator.paths	1
orchestrator.casegrammar	orchestrator.citation-authority	1
orchestrator.casegrammar	orchestrator.knowledge-packs	1
orchestrator.casegrammar	orchestrator.subsumption	1
orchestrator.circuit-breaker	orchestrator.time	1
orchestrator.citation-authority	orchestrator.greek-tokenizer	1
orchestrator.citation-authority	orchestrator.spec	1
orchestrator.cli	orchestrator.adoption	3
orchestrator.cli	orchestrator.ai-dump	2
orchestrator.cli	orchestrator.autonomy	2
orchestrator.cli	orchestrator.capability	1
orchestrator.cli	orchestrator.capability-api	1
orchestrator.cli	orchestrator.casegrammar	8
orchestrator.cli	orchestrator.citation-authority	7
orchestrator.cli	orchestrator.cognition	8
orchestrator.cli	orchestrator.component-scan	4
orchestrator.cli	orchestrator.components	2
orchestrator.cli	orchestrator.consolidation	2
orchestrator.cli	orchestrator.consolidation.bridge	1
orchestrator.cli	orchestrator.constitution	3
orchestrator.cli	orchestrator.contracts	26
orchestrator.cli	orchestrator.core	3
orchestrator.cli	orchestrator.corpus-service	2
orchestrator.cli	orchestrator.counterfactual	3
orchestrator.cli	orchestrator.decisions	7
orchestrator.cli	orchestrator.deontic	8
orchestrator.cli	orchestrator.dialectic	2
orchestrator.cli	orchestrator.engine.sbcl	3
orchestrator.cli	orchestrator.epistemic	1
orchestrator.cli	orchestrator.exec-provenance	3
orchestrator.cli	orchestrator.extraction	3
orchestrator.cli	orchestrator.fluid	1
orchestrator.cli	orchestrator.generation	2
orchestrator.cli	orchestrator.gov-source	3
orchestrator.cli	orchestrator.gr-syntagma	4
orchestrator.cli	orchestrator.graph	5
orchestrator.cli	orchestrator.graph-reason	2
orchestrator.cli	orchestrator.hash-authority	2
orchestrator.cli	orchestrator.http	2
orchestrator.cli	orchestrator.identity	4
orchestrator.cli	orchestrator.inference	9
orchestrator.cli	orchestrator.ingestion.daemon	1
orchestrator.cli	orchestrator.institution	2
orchestrator.cli	orchestrator.introspection	1
orchestrator.cli	orchestrator.journal	11
orchestrator.cli	orchestrator.jws-authority	1
orchestrator.cli	orchestrator.knowledge	5
orchestrator.cli	orchestrator.knowledge-packs	14
orchestrator.cli	orchestrator.legal-id	1
orchestrator.cli	orchestrator.legal-receipt	1
orchestrator.cli	orchestrator.mcp	1
orchestrator.cli	orchestrator.memory	7
orchestrator.cli	orchestrator.merkle	1
orchestrator.cli	orchestrator.meta	4
orchestrator.cli	orchestrator.metaeval	3
orchestrator.cli	orchestrator.model	1
orchestrator.cli	orchestrator.paths	23
orchestrator.cli	orchestrator.pdf-authority	2
orchestrator.cli	orchestrator.precedent	1
orchestrator.cli	orchestrator.proposals	8
orchestrator.cli	orchestrator.reasoning	2
orchestrator.cli	orchestrator.references	2
orchestrator.cli	orchestrator.review	3
orchestrator.cli	orchestrator.safe-read	3
orchestrator.cli	orchestrator.self	5
orchestrator.cli	orchestrator.self-history	7
orchestrator.cli	orchestrator.self-model	30
orchestrator.cli	orchestrator.source-authority	1
orchestrator.cli	orchestrator.spec	8
orchestrator.cli	orchestrator.static-site	1
orchestrator.cli	orchestrator.strategy	2
orchestrator.cli	orchestrator.subsumption	8
orchestrator.cli	orchestrator.time	2
orchestrator.cli	orchestrator.timestamp-authority	1
orchestrator.cli	orchestrator.trace	11
orchestrator.cli	orchestrator.uris	4
orchestrator.cli	orchestrator.version-graph	2
orchestrator.cli	orchestrator.whatif	3
orchestrator.cognition	orchestrator.deliberation	1
orchestrator.component-scan	orchestrator.components	1
orchestrator.component-scan	orchestrator.contracts	1
orchestrator.component-scan	orchestrator.paths	1
orchestrator.component-scan	orchestrator.safe-read	1
orchestrator.component-scan	orchestrator.self-model	1
orchestrator.consolidation.bridge	orchestrator.amendment-extractor	1
orchestrator.consolidation.bridge	orchestrator.time	1
orchestrator.counterfactual	orchestrator.deontic	1
orchestrator.counterfactual	orchestrator.subsumption	1
orchestrator.deontic	orchestrator.conflict	1
orchestrator.dialectic	orchestrator.deontic	1
orchestrator.dialectic	orchestrator.inference	1
orchestrator.dialectic	orchestrator.subsumption	1
orchestrator.eu-interop	orchestrator.hash-authority	1
orchestrator.eu-interop	orchestrator.time	1
orchestrator.exec-provenance	orchestrator.component-scan	1
orchestrator.exec-provenance	orchestrator.components	1
orchestrator.exec-provenance	orchestrator.contracts	1
orchestrator.exec-provenance	orchestrator.trace	1
orchestrator.fingerprint	orchestrator.hash-authority	1
orchestrator.fingerprint	orchestrator.merkle	1
orchestrator.fingerprint	orchestrator.safe-read	1
orchestrator.generation	orchestrator.citation-authority	1
orchestrator.generation	orchestrator.knowledge-packs	1
orchestrator.gov-source	orchestrator.engine.sbcl	1
orchestrator.graph	orchestrator.journal	1
orchestrator.graph	orchestrator.safe-read	1
orchestrator.graph	orchestrator.temporal	1
orchestrator.graph-reason	orchestrator.graph	1
orchestrator.greek-nlp	orchestrator.safe-read	1
orchestrator.greek-tokenizer	orchestrator.journal	1
orchestrator.greek-tokenizer	orchestrator.safe-read	1
orchestrator.identity	orchestrator.paths	1
orchestrator.identity	orchestrator.safe-read	1
