resolver υπό δοκιμή: sha256:75de66fbe2857a177da827864cfb5a85e2592003c64cbd526d941e06e91daf72
μάρτυρες: 58  (ΑΚΡΙΒΗΣ σύγκριση εξόδου)
  ✓ [positive] P1 corpus-relative  (exit 0/0)
  ✓ [positive] P2 ΧΩΡΙΣ ΕΠΕΚΤΑΣΗ — Dockerfile  (exit 0/0)
  ✓ [positive] P3 DOTFILE — .gitignore  (exit 0/0)
  ✓ [positive] P4 ΣΥΝΘΕΤΟ ΕΠΙΘΗΜΑ — a.tar.gz  (exit 0/0)
  ✓ [positive] P5 EXECUTABLE LEAF — beta/run.sh (mode 100755)  (exit 0/0)
  ✓ [positive] P6 αρχείο χωρίς τελικό newline  (exit 0/0)
  ✓ [positive] P7 glob roots  (exit 0/0)
  ✓ [positive] P8 τελεία πρότασης ΔΕΝ είναι σκουπίδι  (exit 0/0)
  ✓ [positive] P9 «path:» χωρίς ψηφίο = πρόζα  (exit 0/0)
  ✓ [positive] P10 κόμμα ΣΤΙΞΗΣ  (exit 0/0)
  ✓ [negative] N-BOUND «/» (κάθετος) ΔΕΝ τερματίζει — ΟΛΟ το token πέφτει  (exit 1/1)
  ✓ [negative] N-BOUND «%» (τοις εκατό) ΔΕΝ τερματίζει — ΟΛΟ το token πέφτει  (exit 1/1)
  ✓ [negative] N-BOUND «?» (ερωτηματικό) ΔΕΝ τερματίζει — ΟΛΟ το token πέφτει  (exit 1/1)
  ✓ [negative] N-BOUND «#» (δίεση) ΔΕΝ τερματίζει — ΟΛΟ το token πέφτει  (exit 1/1)
  ✓ [negative] N-BOUND «=» (ίσον) ΔΕΝ τερματίζει — ΟΛΟ το token πέφτει  (exit 1/1)
  ✓ [negative] N-BOUND «%00» (NUL-encoded) ΔΕΝ τερματίζει — ΟΛΟ το token πέφτει  (exit 1/1)
  ✓ [negative] N-BOUND ουρά με ΜΗ-δεκαεξαδικό γράμμα  (exit 1/1)
  ✓ [negative] N-BOUND ουρά ψηφίου ⇒ 13 hex ⇒ legacy, ΟΧΙ σιωπηλή αποδοχή  (exit 1/1)
  ✓ [negative] N-BOUND ΛΙΣΤΑ ΚΟΜΜΑΤΟΣ απαγορευμένη  (exit 1/1)
  ✓ [negative] N-GRAM legacy μονή γραμμή  (exit 1/1)
  ✓ [negative] N-GRAM legacy εύρος χωρίς hash  (exit 1/1)
  ✓ [negative] N-GRAM χωρίς end  (exit 1/1)
  ✓ [negative] N-GRAM hash 13 hex  (exit 1/1)
  ✓ [negative] N-RES γραμμή n+1  (exit 1/1)
  ✓ [negative] N-RES γραμμή 0  (exit 1/1)
  ✓ [negative] N-RES ανάποδο εύρος  (exit 1/1)
  ✓ [negative] N-RES ΚΕΝΟ αρχείο δεν έχει γραμμή 1  (exit 1/1)
  ✓ [negative] N-RES symlink  (exit 1/1)
  ✓ [negative] N-RES path traversal  (exit 1/1)
  ✓ [negative] N-RES ΚΑΜΙΑ cluster-relative fallback  (exit 1/1)
  ✓ [negative] N-ARG --lane απών  (exit 2/2)
  ✓ [negative] N-ARG --lane διπλό  (exit 2/2)
  ✓ [negative] N-AUTH lane «W-NOSUCH»  (exit 2/2)
  ✓ [negative] N-AUTH lane «W-DUP»  (exit 2/2)
  ✓ [negative] N-AUTH W-NOROOTS  (exit 2/2)
  ✓ [negative] N-AUTH W-EMPTY  (exit 2/2)
  ✓ [negative] N-AUTH W-BADROOT  (exit 2/2)
  ✓ [negative] N-AUTH W-NONSTRING  (exit 2/2)
  ✓ [negative] N-AUTH W-DUPROOTS  (exit 2/2)
  ✓ [negative] N-AUTH W-DUPKEY  (exit 2/2)
  ✓ [negative] N-IN απών dossier  (exit 2/2)
  ✓ [negative] N-IN καμία είσοδος  (exit 2/2)
  ✓ [negative] N-IN μηδέν παραπομπές  (exit 2/2)
  ✓ [negative] N-PARSE unterminated string  (exit 2/2)
  ✓ [negative] N-PARSE dangling escape  (exit 2/2)
  ✓ [negative] N-PARSE μη κλεισμένη παρένθεση  (exit 2/2)
  ✓ [negative] N-ID πειραγμένο TSV ⇒ ταυτότητα δεν ταιριάζει  (exit 2/2)
  ✓ [negative] N-FILE ΚΑΤΑΣΚΕΥΑΣΜΕΝΗ εγγραφή για ΑΝΥΠΑΡΚΤΟ αρχείο  (exit 1/1)
  ✓ [negative] N-FILE ΛΑΘΟΣ bytes στο manifest  (exit 1/1)
  ✓ [negative] N-FILE ΛΑΘΟΣ γραμμές στο manifest  (exit 1/1)
  ✓ [negative] N-FILE ΛΑΘΟΣ mode στο manifest  (exit 2/2)
  ✓ [negative] N-MAN λάθος κεφαλίδα  (exit 2/2)
  ✓ [negative] N-MAN διπλή διαδρομή  (exit 2/2)
  ✓ [negative] N-MAN ΚΕΝΟ text με trailing_newline 1  (exit 2/2)
  ✓ [negative] N-MAN κενό  (exit 2/2)
  ✓ [negative] N-MOUNT mount χωρίς nodev/nosuid/noexec  (exit 2/2)
  ✓ [negative] N-BLOCK probe που ΔΕΝ αποτυγχάνει ⇒ BLOCKED, ΠΟΤΕ PASS  (exit 3/3)
  ✓ [negative] N-MOUNT δεν είναι mount  (exit 2/2)

WITNESS-SUITE-PASS: 10 θετικοί · 48 αρνητικοί · 58 σύνολο — ΑΚΡΙΒΗΣ ΤΑΥΤΙΣΗ ΕΞΟΔΟΥ
