resolver v4 sha256:24809ecd48b410ce656229cda4a87191256f25642f164844d465b1a581a925f9
manifest sha256:29cf2b0ce1af2c9b08711d4aca0a7177f41fcb77d40d68904f170fa6abd41c7e
registry sha256:fffdc910bf95986a549244388a6914211034a5478daf0dea1860b6be7a51f404
lane Φ1A-L1 · cluster-roots ['source']
dossier experiment/phase1a/source.sexp sha256:dd3ce7cc6bd973d284dd00adb417afa3e1030bcdca9da32997b435fb4c5e8aef
παραπομπές: 286 · λύθηκαν: 3 · ΠΡΟΒΛΗΜΑΤΙΚΕΣ: 283
μορφές: mount-anchored=0 corpus-relative=3 · εντός συστάδας=0 · εκτός=3
  ✗ [experiment/phase1a/source.sexp] safe-read.lisp:39-349 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] safe-read.lisp:312-339 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] merkle-authority.lisp:54-235 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] proof-carrying.lisp:50-295 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] journal.lisp:104-576 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] constitutional-gate.lisp:22-71 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] deterministic-time.lisp:52-220 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] cognition.lisp:62-184 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] document-fetch.lisp:92-323 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] self-constitution.lisp:29-132 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] hash-authority.lisp:11-59 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] write-authority.lisp:12-73 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] institution.lisp:26-61 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] config.lisp:7-49 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] authority-proof-bundle.lisp:295-658 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] version-graph.lisp:221-1459 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] version-graph.lisp:2458-2613 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] amendment-extractor.lisp:340-546 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] pdf-authority.lisp:381-1439 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] capability-registry.lisp:40-207 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] capability-api.lisp:37-147 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] contracts.lisp:43-167 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
